,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI,image_path
2713,66164,Ronaldo,75,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38313289,11.19764377,210732.8894,14546961,23766328,510843.8533,22.53370737,ronaldo.png
7319,524577,Ronaldinho,77,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38309688,10.68728237,212406.2667,14213401,24096287,497528.4156,21.86520217,ronaldinho.png
10695,15326144,Neymar da Silva,49,Mogi das Cruzes,,BRAZIL,BR,BRA,-23.522778,-46.193056,South America,1992,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,29245139,10.98970546,477557.5812,9657964,19587175,596839.5714,18.11344134,neymar-da-silva.png
8894,1297124,Kaká,71,Brasilia,,BRAZIL,BR,BRA,-16.019444,-48.066944,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,26741890,9.054373838,174290.6482,11185649,15556241,376646.338,20.68816598,kaká.png
1275,24953,Pelé,88,Três Corações,,BRAZIL,BR,BRA,-21.694722,-45.255278000000004,South America,1940,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,24153197,10.42268469,125882.7217,8748518,15404679,274468.1477,27.44657082,pelé.png
3734,146638,Ayrton Senna,64,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1960,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,18835095,9.530541088,102857.6164,6642249,12192846,294298.3594,24.0985987,ayrton-senna.png
8450,928959,Adriana Lima,47,Salvador,,BRAZIL,BR,BRA,-12.974722,-38.476667,South America,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,18812150,5.990278279,82749.51127999999,10388392,8423758,400258.5106,19.80805464,adriana-lima.png
8446,926934,Gisele Bündchen,52,Três de Maio,,BRAZIL,BR,BRA,-27.772778000000002,-54.24,South America,1980,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,16507588,4.939023263999999,89989.74702000001,10065441,6442147,317453.6154,19.39848008,gisele-bündchen.png
2682,65145,Paulo Coelho,69,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1947,Male,WRITER,LANGUAGE,HUMANITIES,14311386,10.69888271,72606.51269,4185642,10125744,207411.3913,26.19269594,paulo-coelho.png
8773,1172821,Robinho,54,São Vicente,,Brazil,BR,BRA,-23.963333,-46.392222,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,11302903,9.381606397,74361.76302,4554307,6748596,209313.0185,19.27163462,robinho.png
10398,8021453,Alexandre Rodrigues da Silva,46,Pato Branco,,BRAZIL,BR,BRA,-26.216666999999998,-52.666667000000004,South America,1989,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,10376487,8.340212087000001,63314.05809,4123265,6253222,225575.8043,18.14191428,alexandre-rodrigues-da-silva.png
8452,929522,Alessandra Ambrosio,36,Erechim,,BRAZIL,BR,BRA,-27.633889,-52.273889000000004,South America,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,9365378,4.931060122,46320.9987,5540450,3824928,260149.3889,18.44006518,alessandra-ambrosio.png
5555,258947,Rivaldo,52,Paulista,,BRAZIL,BR,BRA,-7.9408330000000005,-34.872778000000004,South America,1972,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9225397,10.98389658,42095.491969999995,3161879,6063518,177411.4808,21.61450228,rivaldo.png
11304,33150509,Michel Teló,34,Medianeira,,BRAZIL,BR,BRA,-25.295,-54.093889000000004,South America,1981,Male,SINGER,MUSIC,ARTS,8183024,7.759885682999999,266653.4387,2810133,5372891,240677.1765,17.29083447,michel-teló.png
10391,7977772,Dilma Rousseff,74,Belo Horizonte,,BRAZIL,BR,BRA,-19.916667,-43.933333000000005,South America,1947,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,7744700,5.207525311,118713.6878,1892209,5852491,104658.1081,23.88869957,dilma-rousseff.png
3408,99328,Luiz Inácio Lula da Silva,80,Caetés,Pernambuco,BRAZIL,BR,BRA,-8.7728,-36.6228,South America,1945,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,7558871,5.82078071,54144.53744,1628304,5930567,94485.8875,25.15926246,luiz-inácio-lula-da-silva.png
8755,1142467,Adriano Leite Ribeiro,48,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,7467240,9.064990645,32113.23882,2583921,4883319,155567.5,19.55497232,adriano-leite-ribeiro.png
2093,48372,Oscar Niemeyer,68,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1907,Male,ARCHITECT,DESIGN,ARTS,6674328,7.823340868,114605.3684,1498447,5175881,98151.88235,24.88796278,oscar-niemeyer.png
7642,615807,Romário,45,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1966,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,6366053,11.08488969,28579.345510000003,1852390,4513663,141467.8444,22.15582964,romário.png
7939,711941,Deco,48,São Bernardo do Campo,,Brazil,BR,BRA,-23.7,-46.55,South America,1977,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5718408,8.468331863,29190.321089999998,2551102,3167306,119133.5,19.70468856,deco.png
9874,3508785,Daniel Alves,47,Juazeiro,,BRAZIL,BR,BRA,-9.430556,-40.502778,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5635706,10.34205525,35268.40313,2006757,3628949,119908.6383,18.82720355,daniel-alves.png
7644,615810,Zico,44,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1953,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5622197,10.62007272,23723.77181,1405370,4216827,127777.2045,24.11773697,zico.png
7693,618870,Paulo Freire,28,Recife,,BRAZIL,BR,BRA,-8.05,-34.9,South America,1921,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,5570496,4.501690729,20925.31112,1379660,4190836,198946.2857,24.6544631,paulo-freire.png
11085,23809308,Getúlio Vargas,39,São Borja,,BRAZIL,BR,BRA,-28.65,-56.0,South America,1882,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,5510071,2.450815545,35012.479980000004,496203,5013868,141283.8718,24.28637432,getúlio-vargas.png
7063,454123,Roberto Carlos da Silva,56,Garça,Sao Paulo,Brazil,BR,BRA,-22.215278,-49.651111,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5347640,11.9233685,36149.27785,109516,5238124,95493.57143,21.07066317,roberto-carlos-da-silva.png
9273,1756817,Rodrigo Santoro,28,Petrópolis,,BRAZIL,BR,BRA,-22.505,-43.178889,South America,1975,Male,ACTOR,FILM AND THEATRE,ARTS,5339883,5.14357706,27830.211760000002,2765086,2574797,190710.1071,18.76394043,rodrigo-santoro.png
10475,9262402,David Luiz Moreira Marinho,38,Diadema,,BRAZIL,BR,BRA,-23.686111,-46.610556,South America,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5001708,8.401142955,77968.15366,2258790,2742918,131623.8947,16.53956053,david-luiz-moreira-marinho.png
9799,3122533,Juninho Pernambucano,35,Recife,,BRAZIL,BR,BRA,-8.05,-34.9,South America,1975,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4993061,9.263601653,25547.22426,1787411,3205650,142658.8857,19.81301124,juninho-pernambucano.png
9438,2110277,Diego Ribas da Cunha,33,Ribeirão Preto,,BRAZIL,BR,BRA,-21.178333,-47.806667,South America,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4962054,7.794390371,32146.057530000002,1640049,3322005,150365.2727,17.7322875,diego-ribas-da-cunha.png
8981,1399716,Júlio César Soares Espíndola,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.785833,-43.311944,South America,1979,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4888706,9.361644442000001,57686.91639,1718020,3170686,113690.8372,18.53114029,júlio-césar-soares-espíndola.png
6064,319743,Joaquim Maria Machado de Assis,30,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1839,Male,WRITER,LANGUAGE,HUMANITIES,4576905,1.5968969640000001,36498.58184,167705,4409200,152563.5,23.44477406,joaquim-maria-machado-de-assis.png
9545,2322845,Thiago Motta,38,São Bernardo do Campo,,BRAZIL,BR,BRA,-23.7,-46.55,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4220031,7.857772043,50606.77334,1470506,2749525,111053.4474,17.57854379,thiago-motta.png
9821,3168862,Eduardo da Silva,44,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4078102,7.485270596,37976.98387,2092008,1986094,92684.13636,17.4377074,eduardo-da-silva.png
10289,6858503,Marcelo Vieira,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3998307,9.420100661000001,42135.465769999995,1350686,2647621,92983.88372,16.96264499,marcelo-vieira.png
7917,700574,Garrincha,47,Pau Grande,,Brazil,BR,BRA,-22.584444,-43.169722,South America,1933,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3950770,11.10854606,17469.259869999998,945978,3004792,84058.93617,25.47910218,garrincha.png
7773,647263,Felipe Massa,57,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3902306,10.56913578,40085.836039999995,1440555,2461751,68461.50877,18.49043508,felipe-massa.png
9985,4288926,Anderson Luís de Abreu Oliveira,46,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3835948,5.885046602999999,13631.23465,2224018,1611930,83390.17391,17.15049744,anderson-luís-de-abreu-oliveira.png
9161,1596818,Luís Fabiano,37,Campinas,,BRAZIL,BR,BRA,-22.900833,-47.057221999999996,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3824730,8.672608301,39985.35912,1477709,2347021,103371.0811,17.96029137,luís-fabiano.png
7641,615800,Cafu,45,São Paulo,,Brazil,BR,BRA,-23.55,-46.633333,South America,1970,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3806118,10.78559836,14976.77961,1307444,2498674,84580.4,21.03333247,cafu.png
10568,11885871,Felipe Melo de Carvalho,35,Volta Redonda,,BRAZIL,BR,BRA,-22.522778,-44.103889,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3758381,7.846598833,42144.54429,1033985,2724396,107382.3143,17.38631732,felipe-melo-de-carvalho.png
10385,7934578,Thiago Emiliano da Silva,35,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3587999,10.07975734,57534.278289999995,1436,3586563,102514.2571,17.38673272,thiago-emiliano-da-silva.png
5479,252989,Rubens Barrichello,50,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1972,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3441875,9.016158906,17412.90686,1418512,2023363,68837.5,20.17712564,rubens-barrichello.png
6003,314055,Juscelino Kubitschek de Oliveira,39,Diamantina,,BRAZIL,BR,BRA,-18.249000000000002,-43.6,South America,1902,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,3370083,2.279151826,20548.032619999998,207060,3163023,86412.38462000001,23.67487305,juscelino-kubitschek-de-oliveira.png
9346,1896500,Lúcio,41,Brasilia,,BRAZIL,BR,BRA,-15.619167000000001,-47.6525,South America,1978,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3314419,8.424249753,35938.77804,1301075,2013344,80839.4878,18.1721902,lúcio.png
8067,751881,Luiz Felipe Scolari,39,Passo Fundo,,BRAZIL,BR,BRA,-28.25,-52.4,South America,1948,Male,COACH,TEAM SPORTS,SPORTS,3244065,7.999939766000001,35690.45192,1307446,1936619,83181.15385,22.74938121,luiz-felipe-scolari.png
8730,1129182,Leonardo Araújo,32,Niterói,,Brazil,BR,BRA,-22.883333,-43.103611,South America,1969,Male,COACH,TEAM SPORTS,SPORTS,3230236,7.241001702,35125.58279,908999,2321237,100944.875,19.36325098,leonardo-araújo.png
8212,794885,Vagner Love,28,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3156572,8.524838273,21834.60485,927079,2229493,112734.7143,17.36140066,vagner-love.png
9368,1949483,Rogério Ceni,29,Pato Branco,,BRAZIL,BR,BRA,-26.216666999999998,-52.666667000000004,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3141694,7.3466638070000005,27585.458960000004,912750,2228944,108334.2759,18.81239291,rogério-ceni.png
3926,152687,Alberto Santos-Dumont,30,Santos Dumont,,BRAZIL,BR,BRA,-21.456667000000003,-43.5525,South America,1873,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,2995065,3.38131904,25010.59485,531689,2463376,99835.5,23.40990366,alberto-santos-dumont.png
9452,2129433,Júlio Baptista,35,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2990436,8.649334086,18845.05789,1103272,1887164,85441.02857000001,18.02510236,júlio-baptista.png
