,en_curid,name,numlangs,birthcity,birthstate,countryName,countryCode,countryCode3,LAT,LON,continentName,birthyear,gender,occupation,industry,domain,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
2713,66164,Ronaldo,75,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1976,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38313289,11.19764377,210732.8894,14546961,23766328,510843.8533,22.53370737
7319,524577,Ronaldinho,77,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,38309688,10.68728237,212406.2667,14213401,24096287,497528.4156,21.86520217
10695,15326144,Neymar da Silva,49,Mogi das Cruzes,,BRAZIL,BR,BRA,-23.522778,-46.193056,South America,1992,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,29245139,10.98970546,477557.5812,9657964,19587175,596839.5714,18.11344134
8894,1297124,Kaká,71,Brasilia,,BRAZIL,BR,BRA,-16.019444,-48.066944,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,26741890,9.054373838,174290.6482,11185649,15556241,376646.338,20.68816598
1275,24953,Pelé,88,Três Corações,,BRAZIL,BR,BRA,-21.694722,-45.255278000000004,South America,1940,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,24153197,10.42268469,125882.7217,8748518,15404679,274468.1477,27.44657082
3734,146638,Ayrton Senna,64,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1960,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,18835095,9.530541088,102857.6164,6642249,12192846,294298.3594,24.0985987
8450,928959,Adriana Lima,47,Salvador,,BRAZIL,BR,BRA,-12.974722,-38.476667,South America,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,18812150,5.990278279,82749.51127999999,10388392,8423758,400258.5106,19.80805464
8446,926934,Gisele Bündchen,52,Três de Maio,,BRAZIL,BR,BRA,-27.772778000000002,-54.24,South America,1980,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,16507588,4.939023263999999,89989.74702000001,10065441,6442147,317453.6154,19.39848008
2682,65145,Paulo Coelho,69,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1947,Male,WRITER,LANGUAGE,HUMANITIES,14311386,10.69888271,72606.51269,4185642,10125744,207411.3913,26.19269594
8773,1172821,Robinho,54,São Vicente,,Brazil,BR,BRA,-23.963333,-46.392222,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,11302903,9.381606397,74361.76302,4554307,6748596,209313.0185,19.27163462
10398,8021453,Alexandre Rodrigues da Silva,46,Pato Branco,,BRAZIL,BR,BRA,-26.216666999999998,-52.666667000000004,South America,1989,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,10376487,8.340212087000001,63314.05809,4123265,6253222,225575.8043,18.14191428
8452,929522,Alessandra Ambrosio,36,Erechim,,BRAZIL,BR,BRA,-27.633889,-52.273889000000004,South America,1981,Female,MODEL,MEDIA PERSONALITY,PUBLIC FIGURE,9365378,4.931060122,46320.9987,5540450,3824928,260149.3889,18.44006518
5555,258947,Rivaldo,52,Paulista,,BRAZIL,BR,BRA,-7.9408330000000005,-34.872778000000004,South America,1972,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9225397,10.98389658,42095.491969999995,3161879,6063518,177411.4808,21.61450228
11304,33150509,Michel Teló,34,Medianeira,,BRAZIL,BR,BRA,-25.295,-54.093889000000004,South America,1981,Male,SINGER,MUSIC,ARTS,8183024,7.759885682999999,266653.4387,2810133,5372891,240677.1765,17.29083447
10391,7977772,Dilma Rousseff,74,Belo Horizonte,,BRAZIL,BR,BRA,-19.916667,-43.933333000000005,South America,1947,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,7744700,5.207525311,118713.6878,1892209,5852491,104658.1081,23.88869957
3408,99328,Luiz Inácio Lula da Silva,80,Caetés,Pernambuco,BRAZIL,BR,BRA,-8.7728,-36.6228,South America,1945,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,7558871,5.82078071,54144.53744,1628304,5930567,94485.8875,25.15926246
8755,1142467,Adriano Leite Ribeiro,48,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,7467240,9.064990645,32113.23882,2583921,4883319,155567.5,19.55497232
2093,48372,Oscar Niemeyer,68,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1907,Male,ARCHITECT,DESIGN,ARTS,6674328,7.823340868,114605.3684,1498447,5175881,98151.88235,24.88796278
7642,615807,Romário,45,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1966,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,6366053,11.08488969,28579.345510000003,1852390,4513663,141467.8444,22.15582964
7939,711941,Deco,48,São Bernardo do Campo,,Brazil,BR,BRA,-23.7,-46.55,South America,1977,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5718408,8.468331863,29190.321089999998,2551102,3167306,119133.5,19.70468856
9874,3508785,Daniel Alves,47,Juazeiro,,BRAZIL,BR,BRA,-9.430556,-40.502778,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5635706,10.34205525,35268.40313,2006757,3628949,119908.6383,18.82720355
7644,615810,Zico,44,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1953,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5622197,10.62007272,23723.77181,1405370,4216827,127777.2045,24.11773697
7693,618870,Paulo Freire,28,Recife,,BRAZIL,BR,BRA,-8.05,-34.9,South America,1921,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,5570496,4.501690729,20925.31112,1379660,4190836,198946.2857,24.6544631
11085,23809308,Getúlio Vargas,39,São Borja,,BRAZIL,BR,BRA,-28.65,-56.0,South America,1882,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,5510071,2.450815545,35012.479980000004,496203,5013868,141283.8718,24.28637432
7063,454123,Roberto Carlos da Silva,56,Garça,Sao Paulo,Brazil,BR,BRA,-22.215278,-49.651111,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5347640,11.9233685,36149.27785,109516,5238124,95493.57143,21.07066317
9273,1756817,Rodrigo Santoro,28,Petrópolis,,BRAZIL,BR,BRA,-22.505,-43.178889,South America,1975,Male,ACTOR,FILM AND THEATRE,ARTS,5339883,5.14357706,27830.211760000002,2765086,2574797,190710.1071,18.76394043
10475,9262402,David Luiz Moreira Marinho,38,Diadema,,BRAZIL,BR,BRA,-23.686111,-46.610556,South America,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,5001708,8.401142955,77968.15366,2258790,2742918,131623.8947,16.53956053
9799,3122533,Juninho Pernambucano,35,Recife,,BRAZIL,BR,BRA,-8.05,-34.9,South America,1975,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4993061,9.263601653,25547.22426,1787411,3205650,142658.8857,19.81301124
9438,2110277,Diego Ribas da Cunha,33,Ribeirão Preto,,BRAZIL,BR,BRA,-21.178333,-47.806667,South America,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4962054,7.794390371,32146.057530000002,1640049,3322005,150365.2727,17.7322875
8981,1399716,Júlio César Soares Espíndola,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.785833,-43.311944,South America,1979,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4888706,9.361644442000001,57686.91639,1718020,3170686,113690.8372,18.53114029
6064,319743,Joaquim Maria Machado de Assis,30,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1839,Male,WRITER,LANGUAGE,HUMANITIES,4576905,1.5968969640000001,36498.58184,167705,4409200,152563.5,23.44477406
9545,2322845,Thiago Motta,38,São Bernardo do Campo,,BRAZIL,BR,BRA,-23.7,-46.55,South America,1982,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4220031,7.857772043,50606.77334,1470506,2749525,111053.4474,17.57854379
9821,3168862,Eduardo da Silva,44,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,4078102,7.485270596,37976.98387,2092008,1986094,92684.13636,17.4377074
10289,6858503,Marcelo Vieira,43,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3998307,9.420100661000001,42135.465769999995,1350686,2647621,92983.88372,16.96264499
7917,700574,Garrincha,47,Pau Grande,,Brazil,BR,BRA,-22.584444,-43.169722,South America,1933,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3950770,11.10854606,17469.259869999998,945978,3004792,84058.93617,25.47910218
7773,647263,Felipe Massa,57,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3902306,10.56913578,40085.836039999995,1440555,2461751,68461.50877,18.49043508
9985,4288926,Anderson Luís de Abreu Oliveira,46,Porto Alegre,,BRAZIL,BR,BRA,-30.033056,-51.23,South America,1988,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3835948,5.885046602999999,13631.23465,2224018,1611930,83390.17391,17.15049744
9161,1596818,Luís Fabiano,37,Campinas,,BRAZIL,BR,BRA,-22.900833,-47.057221999999996,South America,1980,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3824730,8.672608301,39985.35912,1477709,2347021,103371.0811,17.96029137
7641,615800,Cafu,45,São Paulo,,Brazil,BR,BRA,-23.55,-46.633333,South America,1970,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3806118,10.78559836,14976.77961,1307444,2498674,84580.4,21.03333247
10568,11885871,Felipe Melo de Carvalho,35,Volta Redonda,,BRAZIL,BR,BRA,-22.522778,-44.103889,South America,1983,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3758381,7.846598833,42144.54429,1033985,2724396,107382.3143,17.38631732
10385,7934578,Thiago Emiliano da Silva,35,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3587999,10.07975734,57534.278289999995,1436,3586563,102514.2571,17.38673272
5479,252989,Rubens Barrichello,50,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1972,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,3441875,9.016158906,17412.90686,1418512,2023363,68837.5,20.17712564
6003,314055,Juscelino Kubitschek de Oliveira,39,Diamantina,,BRAZIL,BR,BRA,-18.249000000000002,-43.6,South America,1902,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,3370083,2.279151826,20548.032619999998,207060,3163023,86412.38462000001,23.67487305
9346,1896500,Lúcio,41,Brasilia,,BRAZIL,BR,BRA,-15.619167000000001,-47.6525,South America,1978,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3314419,8.424249753,35938.77804,1301075,2013344,80839.4878,18.1721902
8067,751881,Luiz Felipe Scolari,39,Passo Fundo,,BRAZIL,BR,BRA,-28.25,-52.4,South America,1948,Male,COACH,TEAM SPORTS,SPORTS,3244065,7.999939766000001,35690.45192,1307446,1936619,83181.15385,22.74938121
8730,1129182,Leonardo Araújo,32,Niterói,,Brazil,BR,BRA,-22.883333,-43.103611,South America,1969,Male,COACH,TEAM SPORTS,SPORTS,3230236,7.241001702,35125.58279,908999,2321237,100944.875,19.36325098
8212,794885,Vagner Love,28,Rio de Janeiro,,BRAZIL,BR,BRA,-22.908333,-43.196389,South America,1984,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3156572,8.524838273,21834.60485,927079,2229493,112734.7143,17.36140066
9368,1949483,Rogério Ceni,29,Pato Branco,,BRAZIL,BR,BRA,-26.216666999999998,-52.666667000000004,South America,1973,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,3141694,7.3466638070000005,27585.458960000004,912750,2228944,108334.2759,18.81239291
3926,152687,Alberto Santos-Dumont,30,Santos Dumont,,BRAZIL,BR,BRA,-21.456667000000003,-43.5525,South America,1873,Male,INVENTOR,INVENTION,SCIENCE & TECHNOLOGY,2995065,3.38131904,25010.59485,531689,2463376,99835.5,23.40990366
9452,2129433,Júlio Baptista,35,São Paulo,,BRAZIL,BR,BRA,-23.55,-46.633333,South America,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,2990436,8.649334086,18845.05789,1103272,1887164,85441.02857000001,18.02510236
10682,14995351,Michael Jackson,147,Gary,IN,UNITED STATES,US,USA,41.595556,-87.34527800000001,North America,1958,Male,MUSICIAN,MUSIC,ARTS,145250649,8.38490561,3368345.812,67216609,78034040,988099.6531,25.52471712
7346,534366,Barack Obama,200,Honolulu,HI,UNITED STATES,US,USA,21.3,-157.816667,North America,1961,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,112536577,5.514038200000001,1409146.656,72672000,39864577,562682.885,24.88903245
10007,4429395,Eminem,83,Saint Joseph,MO,UNITED STATES,US,USA,39.758055999999996,-94.836667,North America,1972,Male,SINGER,MUSIC,ARTS,108953700,5.623832985,527802.5091,66505927,42447773,1312695.1809999999,23.29884794
9093,17782843,Lady Gaga,133,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1986,Female,MUSICIAN,MUSIC,ARTS,104562647,6.899731452999999,1002621.618,56998631,47564016,786185.3158,21.10450737
10407,8135890,Miley Cyrus,72,Nashville,TN,UNITED STATES,US,USA,36.166667,-86.783333,North America,1992,Female,ACTOR,FILM AND THEATRE,ARTS,91947733,6.703493592,372942.097,48648525,43299208,1277051.847,20.18998484
10286,6844407,Selena Gomez,96,Grand Prairie,TX,United States,US,USA,32.715278000000005,-97.016944,North America,1992,Female,SINGER,MUSIC,ARTS,87742946,6.739624416,577493.6444,45645833,42097113,913989.0208,19.97080402
2865,71870,Johnny Depp,80,Owensboro,KY,UNITED STATES,US,USA,37.757748,-87.11839,North America,1963,Male,ACTOR,FILM AND THEATRE,ARTS,83016743,8.01557424,412044.1787,36362738,46654005,1037709.288,25.11546853
10202,7412236,Steve Jobs,122,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.783333,-122.41666699999999,North America,1955,Male,DESIGNER,DESIGN,ARTS,78372660,6.253179427,2303998.692,45627865,32744795,642398.8525,24.40623329
7081,5792809,Angelina Jolie,91,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1975,Female,ACTOR,FILM AND THEATRE,ARTS,68213700,7.66565495,300252.032,34643640,33570060,749601.0989,23.07840216
7162,19394613,Kim Kardashian,44,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1980,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,66670205,3.628774929,380555.18700000003,47834822,18835383,1515231.9319999998,19.95003135
0,307,Abraham Lincoln,131,Hodgenville,KY,UNITED STATES,US,USA,37.571111,-85.73861099999999,North America,1809,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,66145211,5.801386687000001,586914.7220000001,41477236,24667975,504925.2748,27.93858549
4344,168540,Lil Wayne,46,New Orleans,LA,United States,US,USA,,,North America,1982,Male,SINGER,MUSIC,ARTS,64484487,2.563680289,191932.8068,52129870,12354617,1401836.674,19.54566371
4232,19318,Marilyn Monroe,143,Los Angeles,CA,United States,US,USA,34.05,-118.25,North America,1926,Female,ACTOR,FILM AND THEATRE,ARTS,63671491,8.509240719,429637.8174,31088742,32582749,445255.1818,28.34664613
10937,2844938,Mark Zuckerberg,85,Lower Hudson Valley,NY,United States,US,USA,41.04,-73.778611,North America,1984,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,62640549,5.167148006000001,953554.1396,39243182,23397367,736947.6353,19.53325962
10429,16477368,Katy Perry,72,Santa Barbara,CA,UNITED STATES,US,USA,34.425833000000004,-119.71416699999999,North America,1984,Female,SINGER,MUSIC,ARTS,61762831,5.34760576,399078.4206,36463275,25299556,857817.0972,20.33669307
3382,31341,Tupac Shakur,69,New York,NY,United States,US,USA,,,North America,1971,Male,SINGER,MUSIC,ARTS,59789956,5.296005803,200147.609,36806550,22983406,866521.1014,22.97037287
9279,1769827,Megan Fox,63,Oak Ridge,TN,UNITED STATES,US,USA,36.013333,-84.2625,North America,1986,Female,ACTOR,FILM AND THEATRE,ARTS,59594557,5.225347332,373241.8057,33823561,25770996,945945.3492,19.89242976
10152,5422144,Taylor Swift,68,Reading,PA,United States,US,USA,40.341667,-75.926389,North America,1989,Female,ACTOR,FILM AND THEATRE,ARTS,58688243,4.900938108,422497.3338,37700341,20987902,863062.3971,19.0465892
179,3382,Britney Spears,94,McComb,MS,UNITED STATES,US,USA,31.244472,-90.471592,North America,1981,Female,SINGER,MUSIC,ARTS,58474806,7.014087593999999,181731.4988,30872137,27602669,622072.4043,22.19322186
4626,5119376,John F. Kennedy,116,Boston,MA,UNITED STATES,US,USA,42.331666999999996,-71.121667,North America,1917,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,57596834,6.577612161,390275.9941,33052400,24544434,496524.43100000004,27.66344149
1634,37313,Bruce Lee,84,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.794722,-122.40722199999999,North America,1940,Male,ACTOR,FILM AND THEATRE,ARTS,56281877,7.955667301,267732.5169,28409150,27872727,670022.3452,27.81424619
359,9288,Elvis Presley,118,Tupelo,MS,UNITED STATES,US,USA,34.259722,-88.725833,North America,1935,Male,SINGER,MUSIC,ARTS,55896331,8.724884471000001,205967.6053,26072801,29823530,473697.7203,28.617242200000003
3970,154698,Will Smith,74,Philadelphia,PA,United States,US,USA,,,North America,1968,Male,ACTOR,FILM AND THEATRE,ARTS,55709750,5.8016256020000005,246661.6217,30098646,25611104,752834.4595,23.43846468
7037,2629332,Kristen Stewart,58,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1990,Female,ACTOR,FILM AND THEATRE,ARTS,55438548,6.233086233,382023.0596,29122743,26315805,955837.0345,19.22437349
1928,44849,Brad Pitt,86,Shawnee,OK,United States,US,USA,35.3425,-96.93388900000001,North America,1963,Male,ACTOR,FILM AND THEATRE,ARTS,55005621,7.784187874,227006.832,25372370,29633251,639600.2442,24.88917907
185,3747,Bill Gates,123,Seattle,WA,UNITED STATES,US,USA,47.609722,-122.333056,North America,1955,Male,BUSINESSPERSON,BUSINESS,BUSINESS & LAW,54216010,7.804876131,223586.8329,28776520,25439490,440780.5691,26.34771663
4373,52711,Leonardo DiCaprio,78,Los Angeles,CA,UNITED STATES,US,USA,34.05,-118.25,North America,1974,Male,ACTOR,FILM AND THEATRE,ARTS,53901927,6.901818212999999,359132.3371,27364717,26537210,691050.3462,22.33124629
10606,12520860,Demi Lovato,84,Albuquerque,NM,UNITED STATES,US,USA,35.110703,-106.609991,North America,1992,Female,SINGER,MUSIC,ARTS,53414996,5.775025658,313306.1234,29050645,24364351,635892.8095,19.25114975
3177,83688,Beyoncé,86,Houston,TX,UNITED STATES,US,USA,29.762778000000004,-95.38305600000001,North America,1981,Female,SINGER,MUSIC,ARTS,53049791,6.111313994,346474.19700000004,31191963,21857828,616858.0349,20.99049909
3141,20455,Michael Jordan,75,New York,NY,UNITED STATES,US,USA,40.692778000000004,-73.990278,North America,1963,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,49879093,5.077656822,262167.1281,31236048,18643045,665054.5733,23.61981587
3111,156126,The Rock,45,San Francisco-Bay Area,CA,UNITED STATES,US,USA,37.668889,-122.08083300000001,North America,1972,Male,ACTOR,FILM AND THEATRE,ARTS,49588797,4.365727869,409508.3576,31380680,18208117,1101973.267,21.05364111
9978,345802,John Cena,53,West Newbury,MA,UNITED STATES,US,USA,42.801389,-70.990278,North America,1977,Male,WRESTLER,INDIVIDUAL SPORTS,SPORTS,48740783,5.312117568,229723.0381,27756660,20984123,919637.4151,21.30810964
10808,31460,Tom Cruise,82,Syracuse,NY,UNITED STATES,US,USA,43.046944,-76.144444,North America,1962,Male,ACTOR,FILM AND THEATRE,ARTS,48511575,6.958254548999999,323688.2455,25325423,23186152,591604.5732,24.16075137
2685,16175,Jennifer Lopez,74,New York,NY,United States,US,USA,,,North America,1969,Female,SINGER,MUSIC,ARTS,47371469,7.262349477999999,391698.2742,24031252,23340217,640154.9865,22.78650452
9494,20913246,Scarlett Johansson,91,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1984,Female,ACTOR,FILM AND THEATRE,ARTS,47029383,6.01691495,285373.8616,25225160,21804223,516806.4066,20.60295765
810,16707,Kurt Cobain,68,Aberdeen,WA,UNITED STATES,US,USA,46.975833,-123.818611,North America,1967,Male,SINGER,MUSIC,ARTS,46176455,8.04822291,198963.6771,20350744,25825711,679065.5147,23.87548658
5920,278119,Charlie Sheen,51,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1965,Male,ACTOR,FILM AND THEATRE,ARTS,44461809,5.176825368,642139.6176,25622979,18838830,871800.1765,21.93798647
3915,61404,Sylvester Stallone,74,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1946,Male,ACTOR,FILM AND THEATRE,ARTS,43805205,7.467098797999999,293800.3024,21338758,22466447,591962.2297,26.57451983
10925,39942,Jennifer Aniston,70,Los Angeles,CA,UNITED STATES,US,USA,34.151111,-118.448333,North America,1969,Female,ACTOR,FILM AND THEATRE,ARTS,43727724,5.654944451,209638.7591,25563882,18163842,624681.7714,22.77508472
9857,3414021,George Bush,143,New Haven,CT,UNITED STATES,US,USA,41.31,-72.923611,North America,1946,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,42866705,5.401050196,231269.9209,28235452,14631253,299767.1678,26.69818069
4926,162870,Jay-Z,56,New York,NY,UNITED STATES,US,USA,40.692778000000004,-73.990278,North America,1969,Male,SINGER,MUSIC,ARTS,42716217,3.305492418,172100.2225,32203115,10513102,762789.5893,21.64209089
5350,192481,50 Cent,67,New York,NY,United States,US,USA,,,North America,1975,Male,SINGER,MUSIC,ARTS,42347730,5.934493101,105984.9005,24758992,17588738,632055.6716,22.43448613
1282,25169,Quentin Tarantino,68,Knoxville,TN,UNITED STATES,US,USA,35.972778000000005,-83.942222,North America,1963,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,41489929,7.355518815,408798.5688,17643500,23846429,610146.0147,23.51020622
7312,523032,Kanye West,54,Atlanta,GA,UNITED STATES,US,USA,33.755,-84.39,North America,1977,Male,SINGER,MUSIC,ARTS,41382483,2.958805196,208288.0636,32040185,9342298,766342.2778,19.86667684
10632,13199916,Taylor Lautner,111,Grand Rapids,MI,UNITED STATES,US,USA,42.96125,-85.65571899999999,North America,1992,Male,ACTOR,FILM AND THEATRE,ARTS,40302818,5.936253784,343655.0023,20943556,19359262,363088.4505,18.95332099
8724,8490390,Lindsay Lohan,66,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1986,Female,ACTOR,FILM AND THEATRE,ARTS,40252855,6.207531287,128037.1199,21306837,18946018,609891.7424,20.48105884
6729,415175,Vin Diesel,46,New York,NY,UNITED STATES,US,USA,40.7127,-74.0059,North America,1967,Male,ACTOR,FILM AND THEATRE,ARTS,39643634,7.056825454,339794.2443,18948432,20695202,861818.1304,22.44393796
4166,162617,Chuck Norris,64,Ryan,OK,UNITED STATES,US,USA,34.021667,-97.954167,North America,1940,Male,ACTOR,FILM AND THEATRE,ARTS,39583094,7.276116557999999,286280.8905,18461401,21121693,618485.8438,26.75672162
732,16095,Jimi Hendrix,83,Seattle,WA,UNITED STATES,US,USA,47.609722,-122.333056,North America,1942,Male,MUSICIAN,MUSIC,ARTS,39460548,7.672649819,116896.4358,18685074,20775474,475428.2892,27.92576209
2794,69323,Justin Timberlake,69,Memphis,TN,UNITED STATES,US,USA,35.117365,-89.971068,North America,1981,Male,SINGER,MUSIC,ARTS,39421979,5.556528135,271672.9243,23672034,15749945,571333.029,20.29366979
